Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-mq2e,Manipulation: Randomise questionnaire elements?,Question Key,Response,branch-s3b7,branch-dgjt
1,1753200551361,22/07/2025 16:09,1753200551413,1,22/07/2025 17:09,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,BEGIN QUESTIONNAIRE,,Eligible,Voucher
2,1753200648085,22/07/2025 16:10,1753200648059,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 ,Slightly Agree,Eligible,Voucher
3,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 1 -quantised,2,Eligible,Voucher
4,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 ,Slightly Agree,Eligible,Voucher
5,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 2 -quantised,2,Eligible,Voucher
6,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 ,Slightly Disagree,Eligible,Voucher
7,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 3 -quantised,3,Eligible,Voucher
8,1753200648151,22/07/2025 16:10,1753200648060,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 ,Definitely Agree,Eligible,Voucher
9,1753200648151,22/07/2025 16:10,1753200648061,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 4 -quantised,1,Eligible,Voucher
10,1753200648151,22/07/2025 16:10,1753200648061,1,22/07/2025 17:10,234742,8,questionnaire-zmbq,,48250230,BLINDED,13860618,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.6,1440x900,1440x820,,,,The Autism Spectrum Quotient Adult's Version,2,selfreport_probe,No,question 5,Definitely Disagree,Eligible,Voucher
